%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,    TC.log,      RHOC.log,       RHP,,
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),    W/(mK),   kJ/(m³K),     µW/m³,,
73.5,11.040,5.074,1.894,0.240,2.254,4.313,5.835,1.610,2.178,3.045,2.436,0.242,,
74,11.040,5.291,1.972,0.240,2.254,4.497,6.085,1.676,2.267,3.143,2.494,0.233,,
74.5,11.050,5.346,1.823,0.240,2.254,4.544,6.148,1.550,2.097,3.168,2.382,0.173,,
75,11.050,5.378,1.791,0.240,2.254,4.571,6.184,1.522,2.059,3.182,2.357,0.161,,
75.5,11.060,5.284,1.819,0.240,2.254,4.492,6.077,1.546,2.092,3.140,2.379,0.182,,
76,11.060,5.251,1.828,0.240,2.254,4.464,6.039,1.554,2.103,3.125,2.386,0.193,,
76.5,11.070,5.046,1.881,0.240,2.254,4.289,5.803,1.599,2.163,3.032,2.425,0.240,,
77,11.080,5.190,2.003,0.240,2.254,4.412,5.969,1.702,2.303,3.097,2.518,0.253,,
77.5,11.080,5.119,1.865,0.240,2.254,4.351,5.887,1.585,2.145,3.065,2.413,0.222,,
78,11.090,5.081,1.976,0.240,2.254,4.319,5.843,1.680,2.273,3.048,2.498,0.264,,
78.5,11.090,4.978,1.848,0.240,2.254,4.231,5.724,1.571,2.125,3.000,2.400,0.236,,
79,11.100,5.084,1.951,0.240,2.254,4.322,5.847,1.659,2.244,3.049,2.479,0.252,,
79.5,11.100,5.189,1.873,0.240,2.254,4.411,5.968,1.592,2.154,3.097,2.419,0.214,,
80,11.110,5.379,1.886,0.240,2.254,4.572,6.186,1.603,2.169,3.183,2.429,0.191,,
80.5,11.110,5.204,1.783,0.240,2.254,4.423,5.984,1.516,2.051,3.104,2.351,0.180,,
81,11.110,5.433,1.792,0.240,2.254,4.618,6.247,1.523,2.061,3.207,2.358,0.147,,
81.5,11.120,5.261,1.717,0.240,2.254,4.471,6.050,1.459,1.974,3.129,2.301,0.148,,
82,11.120,5.239,1.847,0.240,2.254,4.453,6.025,1.570,2.124,3.119,2.400,0.195,,
82.5,11.130,5.196,1.803,0.240,2.254,4.417,5.975,1.533,2.074,3.100,2.366,0.194,,
83,11.130,5.377,1.960,0.240,2.254,4.570,6.183,1.666,2.254,3.182,2.486,0.214,,
83.5,11.140,5.167,1.743,0.240,2.254,4.392,5.942,1.482,2.005,3.087,2.321,0.171,,
