% DEPTH	TEMP
3.25	-29.95
3.24	-30
3.22	-30.05
3.22	-30.1
3.25	-30.15
3.25	-30.2
3.24	-30.25
3.25	-30.3
3.25	-30.35
3.26	-30.4
3.27	-30.45
3.27	-30.5
3.26	-30.55
3.26	-30.6
3.27	-30.65
3.29	-30.7
3.29	-30.75
3.29	-30.8
3.28	-30.85
3.29	-30.9
3.3	-30.95
3.3	-31
3.3	-31.05
3.3	-31.1
3.32	-31.15
3.31	-31.2
3.3	-31.25
3.31	-31.3
3.32	-31.35
3.33	-31.4
3.33	-31.45
3.32	-31.5
3.33	-31.55
3.34	-31.6
3.34	-31.65
3.34	-31.7
3.34	-31.75
3.34	-31.8
3.35	-31.85
3.34	-31.9
3.33	-31.95
3.34	-32
3.35	-32.05
3.36	-32.1
3.38	-32.15
3.39	-32.2
3.38	-32.25
3.36	-32.3
3.36	-32.35
3.35	-32.4
3.36	-32.45
3.39	-32.5
3.38	-32.55
3.38	-32.6
3.4	-32.65
3.41	-32.7
3.41	-32.75
3.41	-32.8
3.41	-32.85
3.4	-32.9
3.41	-32.95
3.41	-33
3.41	-33.05
3.42	-33.1
3.42	-33.15
3.43	-33.2
3.43	-33.25
3.42	-33.3
3.4	-33.35
3.45	-33.4
3.74	-33.45
4.28	-33.5
4.84	-33.55
5.28	-33.6
5.61	-33.65
5.88	-33.7
6.1	-33.75
6.28	-33.8
6.44	-33.85
6.58	-33.9
6.67	-33.95
6.77	-34
6.85	-34.05
6.89	-34.1
6.93	-34.15
6.99	-34.2
7.05	-34.25
7.11	-34.3
7.15	-34.35
7.18	-34.4
7.19	-34.45
7.2	-34.5
7.22	-34.55
7.24	-34.6
7.27	-34.65
7.3	-34.7
7.32	-34.75
7.34	-34.8
7.35	-34.85
7.35	-34.9
7.37	-34.95
7.38	-35
7.41	-35.05
7.45	-35.1
7.47	-35.15
7.47	-35.2
7.47	-35.25
7.45	-35.3
7.45	-35.35
7.48	-35.4
7.51	-35.45
7.51	-35.5
7.5	-35.55
7.51	-35.6
7.53	-35.65
7.55	-35.7
7.56	-35.75
7.56	-35.8
7.55	-35.85
7.56	-35.9
7.55	-35.95
7.54	-36
7.56	-36.05
7.58	-36.1
7.58	-36.15
7.57	-36.2
7.59	-36.25
7.61	-36.3
7.62	-36.35
7.62	-36.4
7.61	-36.45
7.6	-36.5
7.61	-36.55
7.62	-36.6
7.62	-36.65
7.63	-36.7
7.64	-36.75
7.64	-36.8
7.64	-36.85
7.65	-36.9
7.63	-36.95
7.63	-37
7.64	-37.05
7.66	-37.1
7.67	-37.15
7.67	-37.2
7.67	-37.25
7.68	-37.3
7.69	-37.35
7.69	-37.4
7.69	-37.45
7.7	-37.5
7.71	-37.55
7.7	-37.6
7.69	-37.65
7.71	-37.7
7.71	-37.75
7.71	-37.8
7.73	-37.85
7.74	-37.9
7.72	-37.95
7.71	-38
7.72	-38.05
7.72	-38.1
7.71	-38.15
7.72	-38.2
7.73	-38.25
7.73	-38.3
7.72	-38.35
7.71	-38.4
7.71	-38.45
7.75	-38.5
7.76	-38.55
7.75	-38.6
7.77	-38.65
7.79	-38.7
7.79	-38.75
7.78	-38.8
7.77	-38.85
7.77	-38.9
7.78	-38.95
7.78	-39
7.77	-39.05
7.76	-39.1
7.78	-39.15
7.79	-39.2
7.79	-39.25
7.81	-39.3
7.79	-39.35
7.79	-39.4
7.8	-39.45
7.79	-39.5
7.79	-39.55
7.8	-39.6
7.81	-39.65
7.81	-39.7
7.81	-39.75
7.81	-39.8
7.81	-39.85
7.81	-39.9
7.8	-39.95
7.82	-40
7.84	-40.05
7.84	-40.1
7.83	-40.15
7.84	-40.2
7.86	-40.25
7.85	-40.3
7.85	-40.35
7.86	-40.4
7.87	-40.45
7.86	-40.5
7.85	-40.55
7.87	-40.6
7.88	-40.65
7.87	-40.7
7.88	-40.75
7.89	-40.8
7.88	-40.85
7.87	-40.9
7.88	-40.95
7.89	-41
7.88	-41.05
7.87	-41.1
7.86	-41.15
7.86	-41.2
7.87	-41.25
7.88	-41.3
7.9	-41.35
7.9	-41.4
7.9	-41.45
7.91	-41.5
7.91	-41.55
7.9	-41.6
7.9	-41.65
7.89	-41.7
7.9	-41.75
7.9	-41.8
7.91	-41.85
7.93	-41.9
7.94	-41.95
7.92	-42
7.91	-42.05
7.92	-42.1
7.95	-42.15
7.94	-42.2
7.94	-42.25
7.94	-42.3
7.95	-42.35
7.95	-42.4
7.94	-42.45
7.94	-42.5
7.94	-42.55
7.96	-42.6
7.98	-42.65
7.97	-42.7
7.96	-42.75
7.97	-42.8
7.98	-42.85
7.99	-42.9
7.99	-42.95
7.99	-43
7.98	-43.05
7.98	-43.1
7.99	-43.15
7.99	-43.2
7.99	-43.25
7.99	-43.3
8	-43.35
8.01	-43.4
8	-43.45
7.99	-43.5
7.99	-43.55
7.99	-43.6
8	-43.65
8.01	-43.7
8.03	-43.75
8.03	-43.8
8.02	-43.85
8.02	-43.9
8.03	-43.95
8.03	-44
8.03	-44.05
8.04	-44.1
8.04	-44.15
8.04	-44.2
8.05	-44.25
8.05	-44.3
8.05	-44.35
8.03	-44.4
8.04	-44.45
8.06	-44.5
8.06	-44.55
8.04	-44.6
8.04	-44.65
8.05	-44.7
8.05	-44.75
8.06	-44.8
8.06	-44.85
8.05	-44.9
8.06	-44.95
8.07	-45
8.07	-45.05
8.08	-45.1
8.09	-45.15
8.08	-45.2
8.08	-45.25
8.09	-45.3
8.1	-45.35
8.1	-45.4
8.09	-45.45
8.09	-45.5
8.08	-45.55
8.09	-45.6
8.11	-45.65
8.11	-45.7
8.11	-45.75
8.09	-45.8
8.1	-45.85
8.1	-45.9
8.1	-45.95
8.1	-46
8.1	-46.05
8.11	-46.1
8.12	-46.15
8.11	-46.2
8.11	-46.25
8.12	-46.3
8.12	-46.35
8.12	-46.4
8.12	-46.45
8.13	-46.5
8.14	-46.55
8.14	-46.6
8.14	-46.65
8.14	-46.7
8.15	-46.75
8.14	-46.8
8.14	-46.85
8.13	-46.9
8.13	-46.95
8.15	-47
8.15	-47.05
8.15	-47.1
8.15	-47.15
8.16	-47.2
8.15	-47.25
8.14	-47.3
8.15	-47.35
8.15	-47.4
8.16	-47.45
8.16	-47.5
8.16	-47.55
8.16	-47.6
8.16	-47.65
8.16	-47.7
8.17	-47.75
8.18	-47.8
8.17	-47.85
8.16	-47.9
8.17	-47.95
8.18	-48
8.18	-48.05
8.17	-48.1
8.17	-48.15
8.18	-48.2
8.19	-48.25
8.2	-48.3
8.19	-48.35
8.19	-48.4
8.2	-48.45
8.18	-48.5
8.18	-48.55
8.2	-48.6
8.21	-48.65
8.21	-48.7
8.21	-48.75
8.19	-48.8
8.2	-48.85
8.21	-48.9
8.21	-48.95
8.21	-49
8.2	-49.05
8.2	-49.1
8.21	-49.15
8.22	-49.2
8.22	-49.25
8.22	-49.3
8.22	-49.35
