%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
794,30.69,1.91,2.032,0.12,2.452,1.814,2.005,1.931,2.134,1.663,2.287,0.765
794.5,30.73,2.21,2.044,0.12,2.452,2.1,2.321,1.942,2.147,1.892,2.297,0.7
795,30.73,2.494,2.053,0.12,2.452,2.37,2.619,1.951,2.156,2.104,2.305,0.64
795.5,30.76,2.573,2.055,0.12,2.452,2.444,2.702,1.953,2.158,2.162,2.307,0.624
796,30.76,2.652,2.057,0.12,2.452,2.519,2.784,1.954,2.16,2.22,2.308,0.607
796.5,30.8,2.731,2.059,0.12,2.452,2.594,2.868,1.956,2.162,2.279,2.31,0.591
797,30.8,2.76,2.06,0.12,2.452,2.622,2.898,1.957,2.163,2.3,2.311,0.585
797.5,30.84,2.758,2.06,0.12,2.452,2.62,2.896,1.957,2.163,2.298,2.311,0.585
798,30.84,2.755,2.06,0.12,2.452,2.617,2.892,1.957,2.163,2.296,2.311,0.586
798.5,30.87,2.765,2.06,0.12,2.452,2.627,2.904,1.957,2.163,2.304,2.311,0.584
799,30.87,2.802,2.061,0.12,2.452,2.662,2.943,1.958,2.164,2.331,2.312,0.576
799.5,30.9,2.893,2.063,0.12,2.452,2.748,3.037,1.96,2.166,2.397,2.313,0.557
800,30.9,2.983,2.065,0.12,2.452,2.834,3.133,1.962,2.168,2.463,2.315,0.539
800.5,30.94,3.075,2.067,0.12,2.452,2.921,3.228,1.963,2.17,2.529,2.317,0.52
801,30.94,3.02,2.065,0.12,2.452,2.869,3.171,1.962,2.169,2.49,2.316,0.531
801.5,30.97,2.847,2.062,0.12,2.452,2.705,2.989,1.959,2.165,2.364,2.312,0.567
802,30.97,2.675,2.058,0.12,2.452,2.541,2.808,1.955,2.161,2.237,2.309,0.602
802.5,31,2.853,2.062,0.12,2.452,2.71,2.996,1.959,2.165,2.368,2.313,0.565
803,31,3.187,2.069,0.12,2.452,3.027,3.346,1.965,2.172,2.61,2.318,0.497
803.5,31.03,3.16,2.068,0.12,2.452,3.002,3.318,1.965,2.172,2.591,2.318,0.503
804,31.03,3.117,2.067,0.12,2.452,2.961,3.273,1.964,2.171,2.56,2.317,0.511
804.5,31.08,3.064,2.066,0.12,2.452,2.911,3.217,1.963,2.17,2.522,2.316,0.522
805,31.08,3.011,2.065,0.12,2.452,2.861,3.162,1.962,2.169,2.483,2.315,0.533
805.5,31.09,3.416,2.072,0.12,2.452,3.245,3.587,1.969,2.176,2.775,2.322,0.45
806,31.09,3.318,2.071,0.12,2.452,3.152,3.484,1.967,2.174,2.705,2.32,0.47
806.5,31.13,3.29,2.07,0.12,2.452,3.125,3.454,1.967,2.174,2.684,2.32,0.476
807,31.13,3.274,2.07,0.12,2.452,3.11,3.438,1.967,2.174,2.673,2.32,0.479
807.5,31.15,3.35,2.071,0.12,2.452,3.183,3.518,1.968,2.175,2.728,2.321,0.464
808,31.15,3.101,2.227,0.05,2.568,2.946,3.256,2.116,2.339,2.857,2.323,0.427
808.5,31.17,3.249,2.23,0.05,2.568,3.087,3.412,2.118,2.341,2.987,2.326,0.391
809,31.17,3.398,2.232,0.05,2.568,3.228,3.567,2.12,2.343,3.116,2.328,0.354
809.5,31.19,3.546,2.234,0.05,2.568,3.369,3.724,2.122,2.345,3.246,2.33,0.317
810,31.19,3.378,2.231,0.05,2.568,3.209,3.547,2.12,2.343,3.099,2.327,0.359
810.5,31.21,3.081,2.227,0.05,2.568,2.927,3.235,2.115,2.338,2.84,2.323,0.432
811,31.21,2.835,2.222,0.05,2.568,2.693,2.976,2.111,2.333,2.624,2.319,0.493
811.5,31.23,2.677,2.219,0.05,2.568,2.543,2.811,2.108,2.33,2.485,2.316,0.532
812,31.23,2.521,2.215,0.05,2.568,2.395,2.647,2.105,2.326,2.347,2.312,0.571
812.5,31.25,2.364,2.211,0.05,2.568,2.246,2.483,2.101,2.322,2.208,2.308,0.611
813,31.25,2.227,2.207,0.05,2.568,2.116,2.339,2.097,2.317,2.087,2.304,0.645
813.5,31.26,2.127,2.204,0.05,2.568,2.021,2.234,2.094,2.314,1.997,2.301,0.67
814,31.26,1.894,2.195,0.05,2.568,1.8,1.989,2.085,2.305,1.789,2.293,0.729
814.5,31.28,1.617,2.181,0.05,2.568,1.536,1.698,2.072,2.29,1.539,2.28,0.8
815,31.28,2.136,1.003,0.4,1.99,2.03,2.243,0.953,1.053,1.289,2.262,0.87
815.5,31.3,1.452,0.956,0.4,1.99,1.379,1.524,0.908,1.004,1.022,2.234,0.946
816,31.3,1.687,0.985,0.4,1.99,1.602,1.771,0.936,1.035,1.119,2.251,1.021
816.5,31.32,1.687,0.985,0.4,1.99,1.602,1.771,0.936,1.035,1.119,2.251,1.096
817,31.32,1.687,0.985,0.4,1.99,1.602,1.771,0.936,1.035,1.119,2.251,1.144
817.5,31.34,1.687,0.985,0.4,1.99,1.602,1.771,0.936,1.035,1.119,2.251,1.128
818,31.34,1.687,0.985,0.4,1.99,1.602,1.771,0.936,1.035,1.119,2.251,1.113
818.5,31.36,1.687,0.985,0.4,1.99,1.602,1.771,0.936,1.035,1.119,2.251,1.097
819,31.36,1.687,0.985,0.4,1.99,1.602,1.771,0.936,1.035,1.119,2.251,1.073
819.5,31.38,1.687,0.985,0.4,1.99,1.602,1.771,0.936,1.035,1.119,2.251,1.038
820,31.38,1.687,0.902,0.4,1.99,1.602,1.771,0.857,0.947,1.119,2.201,1.003
820.5,31.42,1.275,0.938,0.4,1.99,1.211,1.339,0.891,0.985,0.946,2.223,0.968
821,31.42,1.566,0.966,0.4,1.99,1.488,1.644,0.918,1.014,1.07,2.24,0.932
821.5,31.44,1.665,0.974,0.4,1.99,1.582,1.748,0.925,1.022,1.11,2.244,0.921
822,31.44,1.736,0.979,0.4,1.99,1.649,1.823,0.93,1.028,1.138,2.247,0.913
822.5,31.47,1.664,0.974,0.4,1.99,1.581,1.747,0.925,1.022,1.109,2.244,0.921
823,31.47,1.195,0.929,0.4,1.99,1.136,1.255,0.882,0.975,0.91,2.217,0.978
823.5,31.51,1.346,0.946,0.4,1.99,1.279,1.413,0.898,0.993,0.977,2.227,0.959
824,31.51,1.758,0.98,0.4,1.99,1.67,1.846,0.931,1.029,1.147,2.248,0.911
824.5,31.55,1.573,0.967,0.4,1.99,1.495,1.652,0.918,1.015,1.073,2.24,0.932
825,31.55,1.573,0.899,0.4,1.99,1.495,1.652,0.854,0.944,1.073,2.2,1.005
825.5,31.58,1.573,0.985,0.4,1.99,1.495,1.652,0.936,1.035,1.073,2.251,1.078
826,31.58,1.573,0.985,0.4,1.99,1.495,1.652,0.936,1.035,1.073,2.251,1.133
826.5,31.62,1.573,0.985,0.4,1.99,1.495,1.652,0.936,1.035,1.073,2.251,1.183
827,31.62,1.573,0.985,0.4,1.99,1.495,1.652,0.936,1.035,1.073,2.251,1.251
827.5,31.65,1.573,1.4,0.4,1.99,1.495,1.652,1.33,1.47,1.073,2.5,1.369
828,31.65,1.573,1.506,0.4,1.99,1.495,1.652,1.431,1.581,1.073,2.564,1.488
828.5,31.69,1.573,1.401,0.4,1.99,1.495,1.652,1.331,1.471,1.073,2.501,1.606
829,31.69,1.573,1.411,0.4,1.99,1.495,1.652,1.341,1.482,1.073,2.507,1.59
829.5,31.73,1.573,1.432,0.4,1.99,1.495,1.652,1.36,1.503,1.073,2.519,1.561
830,31.73,1.573,1.411,0.4,1.99,1.495,1.652,1.34,1.481,1.073,2.507,1.591
830.5,31.76,1.573,1.393,0.4,1.99,1.495,1.652,1.324,1.463,1.073,2.496,1.621
831,31.76,1.573,1.555,0.4,1.99,1.495,1.652,1.477,1.632,1.073,2.593,1.456
831.5,31.8,1.573,0.985,0.4,1.99,1.495,1.652,0.936,1.035,1.073,2.251,1.267
832,31.8,1.573,0.985,0.4,1.99,1.495,1.652,0.936,1.035,1.073,2.251,1.091
832.5,31.83,1.573,0.937,0.4,1.99,1.495,1.652,0.89,0.984,1.073,2.222,0.969
833,31.83,1.482,0.959,0.4,1.99,1.408,1.556,0.911,1.007,1.035,2.235,0.942
833.5,31.87,2.154,1.004,0.4,1.99,2.046,2.262,0.954,1.054,1.295,2.262,0.869
834,31.87,2.983,1.036,0.4,1.99,2.834,3.132,0.984,1.088,1.575,2.282,0.79
834.5,31.91,2.816,1.031,0.4,1.99,2.675,2.957,0.979,1.082,1.521,2.279,0.805
835,31.91,2.652,1.025,0.4,1.99,2.519,2.785,0.974,1.076,1.467,2.275,0.82
835.5,31.95,2.866,1.033,0.4,1.99,2.722,3.009,0.981,1.084,1.537,2.28,0.8
836,31.95,3.43,1.048,0.4,1.99,3.258,3.601,0.996,1.101,1.712,2.289,0.751
836.5,31.98,4.241,1.065,0.4,1.99,4.029,4.453,1.012,1.119,1.945,2.299,0.685
837,31.98,4.477,1.069,0.4,1.99,4.253,4.701,1.016,1.123,2.009,2.302,0.667
837.5,32.02,4.177,1.064,0.4,1.99,3.968,4.386,1.011,1.117,1.927,2.298,0.69
838,32.02,3.885,1.059,0.4,1.99,3.691,4.079,1.006,1.111,1.845,2.295,0.713
838.5,32.06,3.603,1.053,0.4,1.99,3.422,3.783,1,1.105,1.764,2.292,0.736
839,32.06,3.341,1.046,0.4,1.99,3.174,3.508,0.994,1.098,1.686,2.288,0.758
839.5,32.1,3.092,1.039,0.4,1.99,2.937,3.246,0.987,1.091,1.609,2.284,0.78
840,32.1,2.851,1.032,0.4,1.99,2.708,2.993,0.98,1.084,1.532,2.279,0.802
840.5,32.15,2.617,1.024,0.4,1.99,2.486,2.748,0.973,1.075,1.456,2.274,0.823
841,32.15,2.392,1.015,0.4,1.99,2.272,2.511,0.964,1.066,1.379,2.269,0.845
841.5,32.18,2.421,1.016,0.4,1.99,2.3,2.542,0.965,1.067,1.389,2.27,0.842
842,32.18,2.576,1.022,0.4,1.99,2.447,2.705,0.971,1.073,1.442,2.273,0.827
842.5,32.23,2.575,1.022,0.4,1.99,2.446,2.704,0.971,1.073,1.442,2.273,0.827
843,32.23,2.622,1.024,0.4,1.99,2.491,2.753,0.973,1.075,1.458,2.274,0.823
843.5,32.27,2.504,1.02,0.4,1.99,2.379,2.63,0.969,1.07,1.418,2.272,0.834
844,32.27,2.239,1.008,0.4,1.99,2.127,2.351,0.958,1.058,1.326,2.265,0.86
844.5,32.31,1.986,0.995,0.4,1.99,1.886,2.085,0.945,1.044,1.234,2.257,0.886
845,32.31,2.181,1.005,0.4,1.99,2.072,2.29,0.955,1.055,1.305,2.263,0.866
845.5,32.35,2.809,1.031,0.4,1.99,2.669,2.949,0.979,1.082,1.519,2.278,0.805
846,32.35,3.498,1.05,0.4,1.99,3.324,3.673,0.998,1.103,1.733,2.29,0.745
846.5,32.4,3.905,1.059,0.4,1.99,3.71,4.1,1.006,1.112,1.851,2.295,0.712
847,32.4,4.115,1.063,0.4,1.99,3.909,4.321,1.01,1.116,1.91,2.298,0.695
847.5,32.45,4.119,1.063,0.4,1.99,3.913,4.325,1.01,1.116,1.911,2.298,0.695
848,32.45,3.858,1.058,0.4,1.99,3.665,4.05,1.005,1.111,1.837,2.295,0.715
848.5,32.49,3.692,1.054,0.4,1.99,3.507,3.877,1.002,1.107,1.79,2.293,0.729
849,32.49,4.122,1.063,0.4,1.99,3.916,4.328,1.01,1.116,1.912,2.298,0.694
849.5,32.54,4.028,1.061,0.4,1.99,3.826,4.229,1.008,1.114,1.886,2.297,0.702
850,32.54,3.759,1.056,0.4,1.99,3.571,3.947,1.003,1.109,1.809,2.294,0.723
850.5,32.59,3.498,1.05,0.4,1.99,3.323,3.673,0.998,1.103,1.733,2.29,0.745
851,32.59,3.148,1.041,0.4,1.99,2.99,3.305,0.989,1.093,1.626,2.285,0.775
851.5,32.63,2.593,1.023,0.4,1.99,2.463,2.722,0.972,1.074,1.448,2.274,0.826
852,32.63,2.082,1,0.4,1.99,1.978,2.186,0.95,1.05,1.269,2.26,0.876
852.5,32.69,1.98,0.994,0.4,1.99,1.881,2.078,0.945,1.044,1.231,2.257,0.887
853,32.69,2.693,1.027,0.4,1.99,2.558,2.827,0.975,1.078,1.481,2.276,0.816
853.5,32.72,3.528,1.051,0.4,1.99,3.352,3.705,0.998,1.103,1.742,2.29,0.743
854,32.72,2.062,2.264,0.02,2.617,1.959,2.166,2.151,2.377,2.012,2.302,0.666
854.5,32.77,2.112,2.266,0.02,2.617,2.006,2.217,2.152,2.379,2.059,2.303,0.653
855,32.77,1.819,2.254,0.02,2.617,1.728,1.91,2.142,2.367,1.78,2.292,0.732
855.5,32.81,1.528,2.239,0.02,2.617,1.452,1.605,2.127,2.351,1.5,2.277,0.811
856,32.81,1.349,2.226,0.02,2.617,1.281,1.416,2.115,2.338,1.327,2.265,0.86
856.5,32.85,1.544,2.24,0.02,2.617,1.467,1.621,2.128,2.352,1.515,2.278,0.806
857,32.85,1.74,2.251,0.02,2.617,1.653,1.827,2.138,2.363,1.703,2.289,0.753
857.5,32.9,1.909,2.258,0.02,2.617,1.814,2.004,2.145,2.371,1.866,2.296,0.707
858,32.9,1.943,2.26,0.02,2.617,1.846,2.04,2.147,2.372,1.898,2.297,0.698
858.5,32.94,1.891,2.257,0.02,2.617,1.797,1.986,2.145,2.37,1.849,2.295,0.712
859,32.94,1.839,2.255,0.02,2.617,1.747,1.931,2.142,2.368,1.799,2.293,0.726
859.5,32.98,1.889,2.257,0.02,2.617,1.795,1.984,2.144,2.37,1.847,2.295,0.713
860,32.98,1.954,2.26,0.02,2.617,1.856,2.051,2.147,2.373,1.908,2.298,0.695
860.5,33.03,2.018,2.262,0.02,2.617,1.917,2.119,2.149,2.375,1.97,2.3,0.678
861,33.03,2.171,2.268,0.02,2.617,2.063,2.28,2.154,2.381,2.116,2.305,0.637
861.5,33.07,2.424,2.275,0.02,2.617,2.303,2.545,2.161,2.389,2.357,2.312,0.568
862,33.07,2.534,2.278,0.02,2.617,2.407,2.661,2.164,2.391,2.462,2.315,0.539
862.5,33.11,2.446,2.275,0.02,2.617,2.324,2.568,2.162,2.389,2.379,2.313,0.562
863,33.11,2.358,2.273,0.02,2.617,2.24,2.476,2.159,2.387,2.294,2.311,0.586
863.5,33.15,2.359,2.273,0.02,2.617,2.241,2.477,2.159,2.387,2.295,2.311,0.586
864,33.15,2.403,2.274,0.02,2.617,2.283,2.523,2.161,2.388,2.337,2.312,0.574
864.5,33.2,2.396,2.274,0.02,2.617,2.276,2.516,2.16,2.388,2.331,2.312,0.576
865,33.2,2.372,2.273,0.02,2.617,2.253,2.49,2.16,2.387,2.308,2.311,0.583
865.5,33.23,2.539,2.278,0.02,2.617,2.412,2.666,2.164,2.392,2.467,2.315,0.537
866,33.23,2.525,2.277,0.02,2.617,2.398,2.651,2.163,2.391,2.453,2.315,0.541
866.5,33.26,2.427,2.275,0.02,2.617,2.306,2.549,2.161,2.389,2.361,2.312,0.568
867,33.26,2.328,2.272,0.02,2.617,2.211,2.444,2.159,2.386,2.266,2.31,0.594
867.5,33.3,2.22,2.269,0.02,2.617,2.109,2.331,2.156,2.383,2.163,2.307,0.623
868,33.3,2.113,2.266,0.02,2.617,2.007,2.218,2.152,2.379,2.06,2.303,0.652
868.5,33.34,2.108,2.266,0.02,2.617,2.002,2.213,2.152,2.379,2.056,2.303,0.654
869,33.34,2.113,2.266,0.02,2.617,2.007,2.219,2.152,2.379,2.061,2.303,0.652
869.5,33.37,2.067,2.264,0.02,2.617,1.964,2.17,2.151,2.377,2.017,2.302,0.665
870,33.37,2.056,2.264,0.02,2.617,1.953,2.159,2.151,2.377,2.006,2.301,0.668
870.5,33.41,2.189,2.268,0.02,2.617,2.079,2.298,2.155,2.382,2.133,2.306,0.632
871,33.41,2.293,2.271,0.02,2.617,2.178,2.408,2.158,2.385,2.233,2.309,0.604
871.5,33.43,2.176,2.268,0.02,2.617,2.067,2.285,2.154,2.381,2.121,2.305,0.635
872,33.43,2.059,2.264,0.02,2.617,1.956,2.162,2.151,2.377,2.009,2.302,0.667
872.5,33.47,2.115,2.266,0.02,2.617,2.009,2.221,2.152,2.379,2.063,2.303,0.652
873,33.47,2.388,2.274,0.02,2.617,2.269,2.507,2.16,2.388,2.323,2.311,0.578
873.5,33.51,2.448,2.275,0.02,2.617,2.326,2.571,2.162,2.389,2.381,2.313,0.562
874,33.51,2.348,2.273,0.02,2.617,2.231,2.466,2.159,2.386,2.285,2.31,0.589
874.5,33.55,2.248,2.27,0.02,2.617,2.136,2.361,2.156,2.383,2.19,2.308,0.616
875,33.55,4.779,1.074,0.4,1.99,4.54,5.018,1.02,1.128,2.089,2.304,0.644
875.5,33.59,3.271,1.044,0.4,1.99,3.107,3.434,0.992,1.097,1.664,2.287,0.764
876,33.59,2.355,1.013,0.4,1.99,2.237,2.472,0.963,1.064,1.366,2.268,0.849
876.5,33.62,2.539,1.021,0.4,1.99,2.412,2.666,0.97,1.072,1.43,2.273,0.831
877,33.62,2.729,1.028,0.4,1.99,2.592,2.865,0.977,1.079,1.493,2.277,0.813
877.5,33.67,2.385,1.015,0.4,1.99,2.266,2.505,0.964,1.065,1.377,2.269,0.846
878,33.67,2.009,0.996,0.4,1.99,1.908,2.109,0.946,1.046,1.242,2.258,0.884
878.5,33.72,2.309,1.011,0.4,1.99,2.193,2.424,0.961,1.062,1.35,2.267,0.853
879,33.72,2.671,1.026,0.4,1.99,2.538,2.805,0.975,1.077,1.474,2.276,0.818
879.5,33.76,3.045,1.038,0.4,1.99,2.893,3.198,0.986,1.09,1.594,2.283,0.784
880,33.76,3.339,1.046,0.4,1.99,3.172,3.505,0.994,1.098,1.685,2.288,0.759
880.5,33.8,3.642,1.053,0.4,1.99,3.46,3.824,1.001,1.106,1.775,2.292,0.733
881,33.8,3.86,1.058,0.4,1.99,3.667,4.053,1.005,1.111,1.838,2.295,0.715
881.5,33.85,4.074,1.062,0.4,1.99,3.87,4.278,1.009,1.115,1.899,2.297,0.698
882,33.85,4.061,1.062,0.4,1.99,3.858,4.264,1.009,1.115,1.895,2.297,0.699
882.5,33.9,3.866,1.058,0.4,1.99,3.673,4.06,1.005,1.111,1.84,2.295,0.715
883,33.9,3.675,1.054,0.4,1.99,3.491,3.858,1.001,1.107,1.785,2.292,0.73
883.5,33.95,3.749,1.056,0.4,1.99,3.561,3.936,1.003,1.109,1.806,2.293,0.724
884,33.95,3.925,1.059,0.4,1.99,3.729,4.122,1.006,1.112,1.857,2.296,0.71
884.5,33.99,4.255,1.066,0.4,1.99,4.043,4.468,1.012,1.119,1.949,2.299,0.684
885,33.99,4.658,1.072,0.4,1.99,4.425,4.891,1.018,1.126,2.058,2.303,0.653
885.5,34.03,4.971,1.077,0.4,1.99,4.722,5.219,1.023,1.13,2.139,2.306,0.63
886,34.03,5.249,1.08,0.4,1.99,4.987,5.512,1.026,1.134,2.21,2.308,0.61
886.5,34.07,5.535,1.084,0.4,1.99,5.258,5.812,1.03,1.138,2.282,2.31,0.59
887,34.07,5.459,1.083,0.4,1.99,5.186,5.732,1.029,1.137,2.263,2.31,0.595
887.5,34.13,5.129,1.079,0.4,1.99,4.873,5.386,1.025,1.133,2.18,2.307,0.619
888,34.13,4.807,1.074,0.4,1.99,4.566,5.047,1.021,1.128,2.097,2.305,0.642
888.5,34.17,4.663,1.072,0.4,1.99,4.43,4.896,1.019,1.126,2.059,2.303,0.653
889,34.17,4.652,1.072,0.4,1.99,4.419,4.884,1.018,1.126,2.056,2.303,0.654
889.5,34.22,4.504,1.07,0.4,1.99,4.279,4.729,1.016,1.123,2.016,2.302,0.665
890,34.22,4.022,1.061,0.4,1.99,3.821,4.224,1.008,1.114,1.884,2.297,0.702
890.5,34.26,3.701,1.055,0.4,1.99,3.516,3.886,1.002,1.107,1.792,2.293,0.728
891,34.26,3.852,1.058,0.4,1.99,3.66,4.045,1.005,1.111,1.836,2.295,0.716
891.5,34.31,3.928,1.059,0.4,1.99,3.732,4.124,1.006,1.112,1.857,2.296,0.71
892,34.31,3.723,1.055,0.4,1.99,3.536,3.909,1.002,1.108,1.799,2.293,0.726
892.5,34.36,3.522,1.051,0.4,1.99,3.346,3.698,0.998,1.103,1.74,2.29,0.743
893,34.36,3.545,1.051,0.4,1.99,3.368,3.722,0.999,1.104,1.746,2.291,0.741
893.5,34.4,3.741,1.056,0.4,1.99,3.554,3.928,1.003,1.108,1.804,2.293,0.725
894,34.4,4.124,1.063,0.4,1.99,3.918,4.33,1.01,1.116,1.913,2.298,0.694
894.5,34.46,4.675,1.072,0.4,1.99,4.441,4.908,1.019,1.126,2.062,2.303,0.652
895,34.46,5.252,1.08,0.4,1.99,4.99,5.515,1.026,1.134,2.211,2.308,0.61
895.5,34.51,5.879,1.088,0.4,1.99,5.585,6.173,1.033,1.142,2.366,2.313,0.566
896,34.51,5.992,1.089,0.4,1.99,5.692,6.291,1.034,1.143,2.393,2.313,0.558
896.5,34.55,5.656,1.085,0.4,1.99,5.374,5.939,1.031,1.139,2.312,2.311,0.581
897,34.55,6.484,1.094,0.4,1.99,6.16,6.808,1.039,1.148,2.509,2.316,0.526
897.5,34.6,6.675,1.095,0.4,1.99,6.341,7.009,1.04,1.15,2.553,2.317,0.513
898,34.6,6.278,1.092,0.4,1.99,5.964,6.592,1.037,1.146,2.461,2.315,0.539
898.5,34.65,5.891,1.088,0.4,1.99,5.597,6.186,1.033,1.142,2.369,2.313,0.565
899,34.65,5.58,1.084,0.4,1.99,5.301,5.859,1.03,1.138,2.293,2.311,0.587
899.5,34.7,6.193,1.091,0.4,1.99,5.884,6.503,1.036,1.145,2.441,2.314,0.545
900,34.7,6.833,1.097,0.4,1.99,6.491,7.175,1.042,1.151,2.589,2.318,0.503
900.5,34.73,6.639,1.095,0.4,1.99,6.307,6.971,1.04,1.15,2.545,2.317,0.515
901,34.73,6.149,1.09,0.4,1.99,5.842,6.457,1.036,1.145,2.431,2.314,0.548
901.5,34.77,5.673,1.085,0.4,1.99,5.389,5.957,1.031,1.14,2.316,2.311,0.58
902,34.77,5.208,1.08,0.4,1.99,4.948,5.469,1.026,1.134,2.2,2.308,0.613
902.5,34.81,4.766,1.074,0.4,1.99,4.528,5.004,1.02,1.127,2.086,2.304,0.645
903,34.81,4.752,1.074,0.4,1.99,4.514,4.989,1.02,1.127,2.082,2.304,0.646
903.5,34.83,4.776,1.074,0.4,1.99,4.537,5.015,1.02,1.128,2.089,2.304,0.644
904,34.83,4.991,1.077,0.4,1.99,4.741,5.24,1.023,1.131,2.144,2.306,0.629
904.5,34.86,5.209,1.08,0.4,1.99,4.949,5.47,1.026,1.134,2.2,2.308,0.613
905,34.86,5.431,1.083,0.4,1.99,5.16,5.703,1.028,1.137,2.256,2.31,0.597
905.5,34.9,5.657,1.085,0.4,1.99,5.375,5.94,1.031,1.139,2.312,2.311,0.581
906,34.9,5.806,1.087,0.4,1.99,5.516,6.097,1.032,1.141,2.348,2.312,0.571
906.5,34.94,5.936,1.088,0.4,1.99,5.639,6.232,1.034,1.143,2.38,2.313,0.562
907,34.94,6.068,1.09,0.4,1.99,5.765,6.372,1.035,1.144,2.411,2.314,0.553
907.5,34.96,6.364,1.092,0.4,1.99,6.046,6.682,1.038,1.147,2.481,2.315,0.533
908,34.96,6.282,1.092,0.4,1.99,5.968,6.596,1.037,1.146,2.462,2.315,0.539
908.5,34.99,5.836,1.087,0.4,1.99,5.544,6.127,1.033,1.141,2.355,2.312,0.569
909,34.99,5.321,1.081,0.4,1.99,5.055,5.587,1.027,1.135,2.228,2.309,0.605
909.5,35.03,4.826,1.075,0.4,1.99,4.585,5.068,1.021,1.128,2.102,2.305,0.641
910,35.03,4.35,1.067,0.4,1.99,4.133,4.568,1.014,1.121,1.975,2.3,0.677
910.5,35.06,3.985,1.061,0.4,1.99,3.786,4.185,1.008,1.114,1.874,2.296,0.705
911,35.06,3.656,1.054,0.4,1.99,3.473,3.839,1.001,1.106,1.779,2.292,0.732
911.5,35.08,4.012,1.061,0.4,1.99,3.811,4.212,1.008,1.114,1.881,2.297,0.703
912,35.08,4.431,1.069,0.4,1.99,4.209,4.652,1.015,1.122,1.997,2.301,0.67
912.5,35.1,3.865,1.058,0.4,1.99,3.671,4.058,1.005,1.111,1.839,2.295,0.715
913,35.1,3.273,1.044,0.4,1.99,3.109,3.436,0.992,1.097,1.665,2.287,0.764
913.5,35.13,2.957,1.035,0.4,1.99,2.809,3.105,0.984,1.087,1.566,2.281,0.792
914,35.13,2.804,1.03,0.4,1.99,2.663,2.944,0.979,1.082,1.517,2.278,0.806
914.5,35.15,2.588,1.023,0.4,1.99,2.459,2.717,0.972,1.074,1.446,2.274,0.826
915,35.15,2.286,1.01,0.4,1.99,2.171,2.4,0.96,1.061,1.342,2.266,0.855
915.5,35.18,2.442,1.017,0.4,1.99,2.32,2.564,0.966,1.068,1.397,2.27,0.84
916,35.18,3.224,1.043,0.4,1.99,3.063,3.386,0.991,1.095,1.65,2.286,0.768
916.5,35.2,3.5,1.05,0.4,1.99,3.325,3.675,0.998,1.103,1.733,2.29,0.745
917,35.2,3.473,1.049,0.4,1.99,3.299,3.647,0.997,1.102,1.725,2.29,0.747
917.5,35.23,3.43,1.048,0.4,1.99,3.258,3.601,0.996,1.101,1.712,2.289,0.751
918,35.23,3.237,1.043,0.4,1.99,3.075,3.399,0.991,1.096,1.654,2.286,0.767
918.5,35.26,3.049,1.038,0.4,1.99,2.897,3.202,0.986,1.09,1.596,2.283,0.784
919,35.26,2.673,1.026,0.4,1.99,2.539,2.806,0.975,1.077,1.474,2.276,0.818
919.5,35.3,2.376,1.014,0.4,1.99,2.258,2.495,0.963,1.065,1.374,2.269,0.846
920,35.3,3.059,1.038,0.4,1.99,2.906,3.212,0.987,1.09,1.599,2.283,0.783
920.5,35.34,3.788,1.057,0.4,1.99,3.598,3.977,1.004,1.109,1.817,2.294,0.721
921,35.34,4.121,1.063,0.4,1.99,3.914,4.327,1.01,1.116,1.912,2.298,0.694
921.5,35.37,4.465,1.069,0.4,1.99,4.241,4.688,1.016,1.123,2.006,2.301,0.668
922,35.37,3.847,1.058,0.4,1.99,3.655,4.039,1.005,1.111,1.834,2.295,0.716
922.5,35.42,3.234,1.043,0.4,1.99,3.073,3.396,0.991,1.096,1.653,2.286,0.768
923,35.42,2.962,1.036,0.4,1.99,2.814,3.111,0.984,1.087,1.568,2.281,0.792
923.5,35.46,3.534,1.051,0.4,1.99,3.357,3.71,0.998,1.103,1.743,2.291,0.742
924,35.46,4.143,1.064,0.4,1.99,3.936,4.351,1.01,1.117,1.918,2.298,0.693
924.5,35.5,3.596,1.052,0.4,1.99,3.416,3.775,1,1.105,1.761,2.291,0.737
925,35.5,3.019,1.037,0.4,1.99,2.868,3.17,0.985,1.089,1.586,2.282,0.787
925.5,35.54,2.841,1.032,0.4,1.99,2.699,2.983,0.98,1.083,1.529,2.279,0.803
926,35.54,2.822,1.031,0.4,1.99,2.68,2.963,0.98,1.083,1.523,2.279,0.804
926.5,35.58,3.124,1.04,0.4,1.99,2.968,3.28,0.988,1.092,1.619,2.284,0.777
927,35.58,3.675,1.054,0.4,1.99,3.492,3.859,1.001,1.107,1.785,2.292,0.73
927.5,35.63,4.068,1.062,0.4,1.99,3.864,4.271,1.009,1.115,1.897,2.297,0.699
928,35.63,3.937,1.06,0.4,1.99,3.74,4.134,1.007,1.113,1.86,2.296,0.709
928.5,35.67,3.872,1.058,0.4,1.99,3.678,4.065,1.005,1.111,1.841,2.295,0.714
929,35.67,4.524,1.07,0.4,1.99,4.298,4.75,1.017,1.124,2.022,2.302,0.663
