%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
41.5,9.34,3.154,2.289,0.02,2.617,2.681,3.627,1.946,2.633,3.051,2.327,0.203
42,9.35,3.244,2.291,0.02,2.617,2.758,3.731,1.947,2.634,3.137,2.328,0.16
42.5,9.36,3.335,2.292,0.02,2.617,2.835,3.835,1.948,2.636,3.223,2.329,0.117
43,9.37,3.396,2.293,0.02,2.617,2.887,3.906,1.949,2.637,3.281,2.33,0.087
43.5,9.38,3.341,2.292,0.02,2.617,2.84,3.842,1.948,2.636,3.229,2.329,0.114
44,9.39,3.286,2.291,0.02,2.617,2.793,3.779,1.948,2.635,3.176,2.329,0.14
44.5,9.4,3.231,2.291,0.02,2.617,2.746,3.715,1.947,2.634,3.124,2.328,0.166
45,9.41,3.176,2.29,0.02,2.617,2.699,3.652,1.946,2.633,3.072,2.327,0.192
45.5,9.42,3.146,2.289,0.02,2.617,2.674,3.618,1.946,2.633,3.044,2.326,0.207
46,9.43,3.201,2.29,0.02,2.617,2.721,3.682,1.947,2.634,3.096,2.327,0.18
46.5,9.44,3.224,2.29,0.02,2.617,2.74,3.707,1.947,2.634,3.117,2.328,0.17
47,9.45,3.211,2.29,0.02,2.617,2.729,3.693,1.947,2.634,3.106,2.327,0.175
47.5,9.46,3.273,2.291,0.02,2.617,2.782,3.764,1.947,2.635,3.164,2.328,0.146
48,9.47,3.257,2.291,0.02,2.617,2.769,3.746,1.947,2.635,3.149,2.328,0.154
48.5,9.48,3.181,2.29,0.02,2.617,2.704,3.658,1.946,2.633,3.077,2.327,0.19
49,9.49,3.154,2.289,0.02,2.617,2.681,3.627,1.946,2.633,3.052,2.327,0.203
49.5,9.5,3.211,2.29,0.02,2.617,2.73,3.693,1.947,2.634,3.106,2.327,0.175
50,9.51,3.254,2.291,0.02,2.617,2.766,3.742,1.947,2.635,3.146,2.328,0.155
50.5,9.52,3.183,2.29,0.02,2.617,2.706,3.661,1.946,2.633,3.079,2.327,0.189
51,9.53,3.169,2.29,0.02,2.617,2.693,3.644,1.946,2.633,3.065,2.327,0.196
51.5,9.54,3.161,2.289,0.02,2.617,2.687,3.635,1.946,2.633,3.058,2.327,0.199
52,9.55,3.101,2.289,0.02,2.617,2.636,3.566,1.945,2.632,3.001,2.326,0.228
52.5,9.56,3.088,2.288,0.02,2.617,2.625,3.552,1.945,2.632,2.989,2.326,0.234
53,9.56,3.173,2.29,0.02,2.617,2.697,3.649,1.946,2.633,3.069,2.327,0.194
53.5,9.58,3.207,2.29,0.02,2.617,2.726,3.688,1.947,2.634,3.102,2.327,0.177
54,9.58,3.175,2.29,0.02,2.617,2.698,3.651,1.946,2.633,3.071,2.327,0.193
54.5,9.59,3.142,2.289,0.02,2.617,2.671,3.613,1.946,2.633,3.04,2.326,0.208
55,9.59,3.11,2.289,0.02,2.617,2.643,3.576,1.945,2.632,3.009,2.326,0.224
55.5,9.61,3.133,2.289,0.02,2.617,2.663,3.603,1.946,2.632,3.032,2.326,0.213
56,9.61,3.096,2.288,0.02,2.617,2.632,3.56,1.945,2.632,2.996,2.326,0.23
56.5,9.64,3.116,2.289,0.02,2.617,2.648,3.583,1.945,2.632,3.015,2.326,0.221
57,9.64,3.182,2.29,0.02,2.617,2.705,3.659,1.946,2.633,3.078,2.327,0.189
57.5,9.66,3.156,2.289,0.02,2.617,2.683,3.63,1.946,2.633,3.053,2.327,0.202
58,9.66,3.13,2.289,0.02,2.617,2.661,3.6,1.946,2.632,3.029,2.326,0.214
58.5,9.68,3.104,2.289,0.02,2.617,2.639,3.57,1.945,2.632,3.004,2.326,0.226
59,9.68,3.131,2.289,0.02,2.617,2.661,3.6,1.946,2.632,3.029,2.326,0.214
59.5,9.7,3.181,2.29,0.02,2.617,2.704,3.658,1.946,2.633,3.077,2.327,0.19
60,9.7,3.163,2.29,0.02,2.617,2.688,3.637,1.946,2.633,3.06,2.327,0.199
60.5,9.71,3.177,2.29,0.02,2.617,2.7,3.653,1.946,2.633,3.073,2.327,0.192
61,9.71,3.191,2.29,0.02,2.617,2.712,3.669,1.946,2.633,3.086,2.327,0.185
61.5,9.72,3.221,2.29,0.02,2.617,2.738,3.704,1.947,2.634,3.115,2.328,0.171
62,9.72,3.139,2.289,0.02,2.617,2.668,3.609,1.946,2.633,3.037,2.326,0.21
62.5,9.73,3.129,2.289,0.02,2.617,2.66,3.599,1.946,2.632,3.028,2.326,0.214
63,9.73,3.183,2.29,0.02,2.617,2.705,3.66,1.946,2.633,3.079,2.327,0.189
63.5,9.74,3.082,2.288,0.02,2.617,2.62,3.545,1.945,2.631,2.983,2.325,0.237
